ROWNUM;ObjectShortName;Address
1;Зона отдыха «Белое озеро»;Заозёрная улица, дом 19
2;ГБУ «ЦСП по игровым видам спорта «Измайлово»;Западная улица, дом 16Б
3;Лесопарковая зона «Лосиный остров»;Курганская улица, дом 3
4;Парк «Перовский»;улица Лазо, дом 7
5;Салтыковский лесопарк;Лухмановская улица, дом 19А
6;Салтыковский лесопарк;Лухмановская улица, дом 19А
7;Лесопарковая зона «Лосиный остров»;улица Богатырский Мост, дом 17А
8;Салтыковский парк;Салтыковская улица, дом 33, корпус 1
9;Парк Горького;улица Крымский Вал, дом 9
10;«Измайловский ПКиО»;аллея Большого Круга, дом 7
11;Музеон;улица Крымский Вал, дом 10
12;Парк «Сокольники»;улица Сокольнический Вал, дом 1, строение 1
13;Зона отдыха «Серебряно-Виноградные пруды»;Измайловский проезд, дом 3, корпус 1
14;Парк «Северное Тушино»;улица Свободы, дом 56
15;ЛЗ «Теплый стан»;улица Островитянова, дом 10
16;Парк «Гольяново»;Алтайская улица, дом 4
17;Лесопарк «Кусково», ПК № 80;улица Юности, дом 2, строение 1
